id,Account,Month,Day,Year,Date,Description,Amount,Tag1,Tag2
41,ENT_Checking,3,8,2024,3/8/2024,VENMO  : CASHOUT   : 5264681992  CO: VENMO,97.1,NA,NA
42,ENT_Checking,3,10,2024,3/10/2024,Deposit Home Banking Transfer From Share 00 REF# 68687003,1100,NA,NA
43,ENT_Checking,3,11,2024,3/11/2024,AMERICAN FAMILY  : WEBPAYMENT   : PEBP075965,-387.08,NA,NA
44,ENT_Checking,3,12,2024,3/12/2024,VENMO  : CASHOUT   : 5264681992  CO: VENMO,65,NA,NA
45,ENT_Checking,3,12,2024,3/12/2024,BANK OF AMERICA  : ONLINE PMT   : 9500000000,-443.24,NA,NA
46,ENT_Checking,3,12,2024,3/12/2024,CAPITAL ONE  : MOBILE PMT   : 9279744380,-1332.28,NA,NA
47,ENT_Checking,3,12,2024,3/12/2024,Deposit Home Banking Transfer From Share 00 REF# 68738662,500,NA,NA
48,ENT_Checking,3,13,2024,3/13/2024,BANK OF AMERICA  : ONLINE PMT   : 9500000000,-443.24,NA,NA
49,ENT_Savings,3,1,2024,3/1/2024,Withdrawal Home Banking Transfer To Share 10 REF# 68357919,-1000,NA,NA
50,ENT_Savings,3,1,2024,3/1/2024,Withdrawal Home Banking Transfer To Share 10 REF# 68377475,-250,NA,NA
51,ENT_Savings,3,8,2024,3/8/2024,HANSON PROFESSIO  : DIRECT DEP   : 9111111102,1919.86,NA,NA
52,ENT_Savings,3,10,2024,3/10/2024,Withdrawal Home Banking Transfer To Share 10 REF# 68687003,-1100,NA,NA
53,ENT_Savings,3,12,2024,3/12/2024,Withdrawal Home Banking Transfer To Share 10 REF# 68738662,-500,NA,NA
54,ENT_Savings,3,14,2024,3/14/2024,MO DEPT REVENUE  : MOSTTAXRFD   : 9FSERIES,79,NA,NA
55,ENT_MoneyMarket,3,1,2024,3/1/2024,Withdrawal Home Banking Transfer To Share 10 REF# 68377371,-900,NA,NA
